uuid,name,type,permalink,cb_url,rank,created_at,updated_at,category_groups_list
38332b1e-9615-917e-89c0-346d631ffa97,Recycling,category,recycling,https://www.crunchbase.com/category/recycling,,2014-04-20 07:58:47,2018-02-13 00:58:58,Sustainability
db01a201-1e47-57b3-c3cc-a63eb94e3878,News,category,news,https://www.crunchbase.com/category/news,,2014-04-20 07:58:48,2018-02-13 00:59:11,"Content and Publishing,Media and Entertainment"
27d62522-9ec5-72be-aed4-a1d8dbf721a8,Serious Games,category,serious-games,https://www.crunchbase.com/category/serious-games,,2014-04-20 07:58:48,2018-02-13 00:58:56,Gaming
69eb7729-14ce-2fb1-0998-ef15631f644b,Women's,category,womens,https://www.crunchbase.com/category/womens,,2016-03-03 19:09:56,2018-02-13 00:59:10,
1f8c929b-3b58-327d-c417-256ea3ff98f8,Funding Platform,category,funding-platform,https://www.crunchbase.com/category/funding-platform,,2017-08-22 20:07:56,2018-02-13 00:58:55,"Financial Services,Lending and Investments"
4c2e7382-66cb-5e44-9b3a-d9983d537a0c,Rehabilitation,category,rehabilitation,https://www.crunchbase.com/category/rehabilitation,,2014-04-20 07:58:47,2018-02-13 00:59:10,Health Care
3b3b024f-f777-ed33-4309-75fbc37850bb,Consumer Reviews,category,consumer-reviews,https://www.crunchbase.com/category/consumer-reviews,,2016-03-03 19:09:51,2018-02-13 00:59:09,Commerce and Shopping
e89057d0-4221-b6cd-8a26-dc846f371d56,E-Learning,category,e-learning,https://www.crunchbase.com/category/e-learning,,2016-03-03 19:09:41,2018-02-13 00:59:11,"Education,Software"
4d5971dc-db1a-a9a5-8911-9f546f3c2be2,Edutainment,category,edutainment,https://www.crunchbase.com/category/edutainment,,2014-04-20 07:58:47,2018-02-13 00:59:10,"Education,Media and Entertainment"
e643b268-4da3-8a4a-c1ff-ae941d27b779,Energy Efficiency,category,energy-efficiency,https://www.crunchbase.com/category/energy-efficiency,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Energy,Sustainability"
c027cef7-0f5e-e22c-cc82-937146652034,Hedge Funds,category,hedge-funds,https://www.crunchbase.com/category/hedge-funds,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Financial Services,Lending and Investments"
a05dcda6-3d19-288d-9b66-1473706720aa,Product Design,category,product-design,https://www.crunchbase.com/category/product-design,,2014-04-20 07:58:47,2018-02-13 00:59:11,Design
b05bd17d-1df9-8add-ae14-14e07dc37c9c,Sporting Goods,category,sporting-goods,https://www.crunchbase.com/category/sporting-goods,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Commerce and Shopping,Sports"
63d2bafb-b8b8-8279-eaf3-dd06356d08aa,Surfing,category,surfing,https://www.crunchbase.com/category/surfing,,2016-03-03 19:09:45,2018-02-13 00:59:10,Sports
9af4eb12-07db-5340-37f6-47a842b8d0bc,Handmade,category,handmade-9af4,https://www.crunchbase.com/category/handmade-9af4,,2014-04-20 07:58:48,2018-02-13 00:59:11,
404d4762-e5b6-1721-c045-6b0556619e73,Public Transportation,category,public-transportation,https://www.crunchbase.com/category/public-transportation,,2014-04-20 07:58:46,2018-02-13 00:59:10,Transportation
bcf1a24a-96df-d95b-099c-ddd418385579,Wholesale,category,wholesale,https://www.crunchbase.com/category/wholesale,,2014-04-20 07:58:46,2018-02-13 00:59:11,Commerce and Shopping
53d763c7-8c06-f94a-1ba5-27039feee67c,Commercial Insurance,category,commercial-insurance,https://www.crunchbase.com/category/commercial-insurance,,2016-03-03 18:20:31,2018-02-13 00:59:10,Financial Services
e362ac36-2e59-c58d-08fe-e5c45f13bc64,Graphic Design,category,graphic-design-e362,https://www.crunchbase.com/category/graphic-design-e362,,2015-02-10 18:38:57,2018-02-13 00:59:11,Design
c935f86f-45e9-7937-bf48-406d055ef664,Virtual Desktop,category,virtual-desktop,https://www.crunchbase.com/category/virtual-desktop,,2014-04-20 07:58:48,2018-02-13 00:59:11,Software
f9f2471c-b164-77bd-a9ca-b5defca5d67a,Tizen,category,tizen-f9f2,https://www.crunchbase.com/category/tizen-f9f2,,2016-03-03 18:20:30,2018-02-13 00:59:11,Platforms
dda1f288-360b-4522-4943-a8e28db70976,Usability Testing,category,usability-testing,https://www.crunchbase.com/category/usability-testing,,2016-03-03 19:09:52,2018-02-13 00:59:11,"Data and Analytics,Design"
548cfeb2-0b4d-6b91-a514-c3646e3f70db,Life Insurance,category,life-insurance,https://www.crunchbase.com/category/life-insurance,,2016-03-03 18:20:28,2018-02-13 00:59:10,Financial Services
92e4e78e-9327-235b-b7ad-a48b5e54ac55,Industrial Engineering,category,industrial-engineering,https://www.crunchbase.com/category/industrial-engineering,,2016-03-03 18:20:41,2018-02-13 00:59:11,"Manufacturing,Science and Engineering"
f6de0321-9c3e-cbab-7a67-a018375bbb4e,Child Care,category,child-care,https://www.crunchbase.com/category/child-care,,2014-04-20 07:58:47,2018-02-13 00:59:11,Health Care
dc779027-8b15-f74d-a7ae-a057c19c3975,Eyewear,category,eyewear-dc77,https://www.crunchbase.com/category/eyewear-dc77,,2014-04-20 07:58:48,2018-02-13 00:59:11,Consumer Goods
3cfec0c2-95d7-78a9-8c8f-487f21b8130d,Online Forums,category,online-forums,https://www.crunchbase.com/category/online-forums,,2016-03-03 19:09:39,2018-02-13 00:59:09,"Community and Lifestyle,Internet Services"
72eb8163-24b3-80c8-6851-21019ceaaaf4,Lead Management,category,lead-management,https://www.crunchbase.com/category/lead-management,,2014-04-20 07:58:47,2018-02-13 00:59:10,Sales and Marketing
88eb1c13-adf5-8728-df29-0590a0ce0ab8,Travel Accommodations,category,travel-accommodations,https://www.crunchbase.com/category/travel-accommodations,,2016-06-09 21:50:47,2018-02-13 00:59:11,Travel and Tourism
2da9e9ae-e433-7d18-2e1b-4395d0cb14f4,B2C,category,b2c,https://www.crunchbase.com/category/b2c,,2016-03-03 18:20:41,2018-02-13 00:58:57,
342cedc1-6dff-c0fa-2e2f-f376b7db1f69,Psychology,category,psychology,https://www.crunchbase.com/category/psychology,,2014-04-20 07:58:47,2018-02-13 00:58:58,Health Care
be21aa9f-99cd-0379-b746-899e0ec7e0fd,Marketing Automation,category,marketing-automation,https://www.crunchbase.com/category/marketing-automation,,2014-04-20 07:58:48,2018-02-13 00:59:11,"Sales and Marketing,Software"
982fba85-05b9-7702-8a4e-518424a489ca,Natural Resources,category,natural-resources,https://www.crunchbase.com/category/natural-resources,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Natural Resources,Sustainability"
bb2ad65f-1009-db81-c6f6-83dbcfd64870,Automotive,category,automotive,https://www.crunchbase.com/category/automotive,,2014-04-20 07:58:47,2018-02-13 00:59:11,Transportation
262727f4-409a-1b3a-4e14-040339daa54a,Social Media Marketing,category,social-media-marketing,https://www.crunchbase.com/category/social-media-marketing,,2014-04-20 07:58:48,2018-02-13 00:58:56,Sales and Marketing
42bf7b8c-7f0f-3581-f6d0-ed135afd8278,Online Games,category,online-games,https://www.crunchbase.com/category/online-games,,2016-03-03 19:10:03,2018-02-13 00:59:10,Gaming
6dab555a-c4f3-dc69-4250-e1e530475197,STEM Education,category,stem-education,https://www.crunchbase.com/category/stem-education,,2016-03-03 19:09:41,2018-02-13 00:59:10,"Education,Science and Engineering"
9f8132a0-2620-1f89-a2d2-fadbb3f16b4c,Wireless,category,wireless,https://www.crunchbase.com/category/wireless,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Hardware,Mobile"
37b8e1da-ddd2-2beb-aa15-9fadd061282c,Medical Device,category,medical-device,https://www.crunchbase.com/category/medical-device,,2016-03-03 19:09:44,2018-02-13 00:58:58,Health Care
a2684225-b25e-e606-6c7b-0f513d6eb7aa,Cycling,category,cycling,https://www.crunchbase.com/category/cycling,,2016-03-03 18:20:35,2018-02-13 00:59:11,Sports
5ea0cdb7-c9a6-47fc-50f8-c9b0fac04863,Machine Learning,category,machine-learning,https://www.crunchbase.com/category/machine-learning,,2014-04-20 07:58:47,2018-02-13 00:59:10,"Artificial Intelligence,Data and Analytics,Software"
d1fa0ffc-a463-d8d8-2f7f-55ed33772c09,Plastics and Rubber Manufacturing,category,plastics-and-rubber-manufacturing,https://www.crunchbase.com/category/plastics-and-rubber-manufacturing,,2016-06-09 21:50:47,2018-02-13 00:59:11,Manufacturing
e6d30f03-ec4b-0380-56eb-c127dc979003,Clean Energy,category,clean-energy,https://www.crunchbase.com/category/clean-energy,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Energy,Sustainability"
93872d37-a1f6-a0af-b9e2-0b150c79f8eb,Retail Technology,category,retail-technology,https://www.crunchbase.com/category/retail-technology,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Commerce and Shopping,Hardware,Software"
4d4b3487-d2f7-4605-328a-adddc1a693be,Contact Management,category,contact-management,https://www.crunchbase.com/category/contact-management,,2014-04-20 07:58:47,2018-02-13 00:59:10,"Information Technology,Software"
08d7bc9a-de67-b81c-076e-bc59f496ac67,Credit Bureau,category,credit-bureau,https://www.crunchbase.com/category/credit-bureau,,2016-06-09 21:50:42,2018-02-13 00:58:51,Financial Services
57d4964b-dc51-a0e9-fb24-869ed418e858,Consumer Software,category,consumer-software,https://www.crunchbase.com/category/consumer-software,,2016-03-03 18:20:35,2018-02-13 00:59:10,Software
2d1ad8b1-e01b-f4ea-70be-41c43a4ec269,Virtual World,category,virtual-world-2d1a,https://www.crunchbase.com/category/virtual-world-2d1a,,2016-03-03 19:09:57,2018-02-13 00:58:57,"Community and Lifestyle,Media and Entertainment,Software"
d9ee2821-9f88-c0cf-e775-a34db739e9ec,Bakery,category,bakery,https://www.crunchbase.com/category/bakery,,2016-06-09 21:50:43,2018-02-13 00:59:11,Food and Beverage
5349a2f2-14d8-9727-c32a-19ebea5db78c,Social Media,category,social-media,https://www.crunchbase.com/category/social-media,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Internet Services,Media and Entertainment"
